cbp_class,log_chance
0,8
1,13
2,4
3,4
4,12
5,8
6,1
7,7
8,2
9,12
10,11
11,10
12,4
13,2
14,14
15,7
16,10
17,6
18,1
19,12
20,7
21,13
22,14
23,10
24,12
25,9
26,10
27,8
28,6
29,5
30,7
31,10
32,4
33,1
34,14
35,4
36,14
37,14
38,11
39,10
40,9
41,8
42,13
43,12
44,13
45,5
46,12
47,3
48,11
49,14
50,9
51,10
52,14
53,9
54,13
55,7
56,9
57,8
58,13
59,9
60,13
61,6
62,6
63,14
