cbp_class,log_chance
0,7
1,11
2,9
3,10
4,9
5,7
6,9
7,11
8,9
9,5
10,9
11,11
12,11
13,10
14,8
15,12
16,10
17,6
18,6
19,8
20,12
21,11
22,7
23,10
24,7
25,11
26,10
27,11
28,11
29,6
30,13
31,8
32,12
33,9
34,13
35,13
36,11
37,13
38,8
39,10
40,9
41,9
42,6
43,12
44,6
45,10
46,11
47,11
48,8
49,4
50,9
51,5
52,8
53,10
54,13
55,13
56,10
57,7
58,6
59,7
60,14
61,8
62,12
63,7
