PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 8GB
space: 1.37603 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,15237407,0,0,PrediCache,16,10000000,rndread,64,0,0
1,16514755,0,0,PrediCache,16,10000000,rndread,64,0,0
2,16840581,0,0,PrediCache,16,10000000,rndread,64,0,0
3,17172005,0,0,PrediCache,16,10000000,rndread,64,0,0
4,17369397,0,0,PrediCache,16,10000000,rndread,64,0,0
5,17352007,0,0,PrediCache,16,10000000,rndread,64,0,0
6,17087907,0,0,PrediCache,16,10000000,rndread,64,0,0
7,16700891,0,0,PrediCache,16,10000000,rndread,64,0,0
8,16113457,0,0,PrediCache,16,10000000,rndread,64,0,0
9,13705176,0,0,PrediCache,16,10000000,rndread,64,0,0
10,13552884,0,0,PrediCache,16,10000000,rndread,64,0,0
11,14070800,0,0,PrediCache,16,10000000,rndread,64,0,0
12,14278434,0,0,PrediCache,16,10000000,rndread,64,0,0
13,14680512,0,0,PrediCache,16,10000000,rndread,64,0,0
14,14508877,0,0,PrediCache,16,10000000,rndread,64,0,0
15,16503300,0,0,PrediCache,16,10000000,rndread,64,0,0
16,14899031,0,0,PrediCache,16,10000000,rndread,64,0,0
17,15847371,0,0,PrediCache,16,10000000,rndread,64,0,0
18,16517716,0,0,PrediCache,16,10000000,rndread,64,0,0
19,15721171,0,0,PrediCache,16,10000000,rndread,64,0,0
20,15994366,0,0,PrediCache,16,10000000,rndread,64,0,0
21,16296276,0,0,PrediCache,16,10000000,rndread,64,0,0
22,15951314,0,0,PrediCache,16,10000000,rndread,64,0,0
23,16320073,0,0,PrediCache,16,10000000,rndread,64,0,0
24,16111748,0,0,PrediCache,16,10000000,rndread,64,0,0
25,16473185,0,0,PrediCache,16,10000000,rndread,64,0,0
26,16541888,0,0,PrediCache,16,10000000,rndread,64,0,0
27,16372977,0,0,PrediCache,16,10000000,rndread,64,0,0
28,16650043,0,0,PrediCache,16,10000000,rndread,64,0,0
29,16450847,0,0,PrediCache,16,10000000,rndread,64,0,0
space: 1.37603 GB 
