PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 16GB
space: 0.846966 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,603396,0,0,PrediCache,16,8,tpcc,64,0,0
1,640869,0,0,PrediCache,16,8,tpcc,64,0,0
2,701968,0,0,PrediCache,16,8,tpcc,64,0,0
3,697536,0,0,PrediCache,16,8,tpcc,64,0,0
4,705590,0,0,PrediCache,16,8,tpcc,64,0,0
5,703495,0,0,PrediCache,16,8,tpcc,64,0,0
6,662770,0,0,PrediCache,16,8,tpcc,64,0,0
7,622289,0,0,PrediCache,16,8,tpcc,64,0,0
8,654833,0,0,PrediCache,16,8,tpcc,64,0,0
9,673316,0,0,PrediCache,16,8,tpcc,64,0,0
10,677282,0,0,PrediCache,16,8,tpcc,64,0,0
11,679201,0,0,PrediCache,16,8,tpcc,64,0,0
12,669852,0,0,PrediCache,16,8,tpcc,64,0,0
13,666204,0,0,PrediCache,16,8,tpcc,64,0,0
14,667110,0,0,PrediCache,16,8,tpcc,64,0,0
15,637246,0,0,PrediCache,16,8,tpcc,64,0,0
16,657181,0,0,PrediCache,16,8,tpcc,64,0,0
17,650494,0,0,PrediCache,16,8,tpcc,64,0,0
18,659026,0,0,PrediCache,16,8,tpcc,64,0,0
19,652650,0,0,PrediCache,16,8,tpcc,64,0,0
20,652915,0,0,PrediCache,16,8,tpcc,64,0,0
21,653020,0,0,PrediCache,16,8,tpcc,64,0,0
22,644774,0,0,PrediCache,16,8,tpcc,64,0,0
23,646526,0,0,PrediCache,16,8,tpcc,64,0,0
24,644535,0,0,PrediCache,16,8,tpcc,64,0,0
25,645400,0,0,PrediCache,16,8,tpcc,64,0,0
26,645954,0,0,PrediCache,16,8,tpcc,64,0,0
27,643998,0,0,PrediCache,16,8,tpcc,64,0,0
28,646025,0,0,PrediCache,16,8,tpcc,64,0,0
29,628915,0,0,PrediCache,16,8,tpcc,64,0,0
space: 10.9165 GB 
